timestamp,phase,threshold,component_id,robot_count,centroid_x,centroid_y,centroid_range,centroid_bearing_deg,bearing_std_deg,spatial_span,forward_zero_count,front_cohort_count,retention_fraction,matched_previous_component_id,lifetime_samples,radial_rate
3.9166666666666576,SPH_OPENING_APPROACH,180,180-9,2,168.88772123407716,-3.299467251679748,168.91994810496558,-1.1192140025998767,1.732235887649213,11.238368452745481,1,2,1.0,180-9,18,12.471353318018998
3.9166666666666576,SPH_OPENING_APPROACH,180,180-9,2,147.43236190728106,20.119449976275877,148.7988360334427,7.770902996630887,1.7657281273275869,11.504584525691378,0,2,1.0,180-9,18,7.326922503754361
3.9166666666666576,SPH_OPENING_APPROACH,180,180-5,1,81.904359670513,-76.70394063440376,112.21327302009729,-43.1220695452528,0.0,0.0,0,0,1.0,180-5,29,2.2223095110551583
3.9166666666666576,SPH_OPENING_APPROACH,180,180-11,1,97.88306116368526,22.66452856142261,100.47275510149649,13.036918955398507,0.0,0.0,0,0,0.0,,1,
3.9166666666666576,SPH_OPENING_APPROACH,180,180-9,1,174.70851726072786,-25.752638511236803,176.5963317674874,-8.385212924723158,0.0,0.0,1,1,1.0,180-9,18,15.10291383443672
3.9166666666666576,SPH_OPENING_APPROACH,180,180-3,1,134.38168184269782,38.932228325617295,139.9076653270651,16.15703214631421,0.0,0.0,1,1,1.0,180-3,39,7.135855386410981
3.9166666666666576,SPH_OPENING_APPROACH,180,180-2,1,141.41779540228453,-101.97348982707798,174.34903350450665,-35.79460502922082,0.0,0.0,0,1,1.0,180-2,39,10.61135365647715
3.9166666666666576,SPH_OPENING_APPROACH,180,180-12,1,157.0888772738977,-82.81772731547902,177.5829139328295,-27.79833267670967,0.0,0.0,0,1,1.0,180-12,18,9.181033482005034
3.9166666666666576,SPH_OPENING_APPROACH,180,180-2,1,172.38058348551306,-61.739227258981266,183.10324340475805,-19.7053153603659,0.0,0.0,1,1,1.0,180-2,39,13.112265053416934
4.016666666666658,SPH_OPENING_APPROACH,90,90-1,131,53.10281615357567,-36.359493664401576,64.35776458961354,-34.39943921664262,41.9816505728597,253.84618455540195,8,22,0.5075757575757576,90-1,40,-393.09995244963375
4.016666666666658,SPH_OPENING_APPROACH,120,120-1,63,7.3160157475319245,-37.54674436415619,38.25287046439038,-78.97402282802373,41.32258477968742,77.29629195987712,0,0,0.984375,120-1,40,-1.2762588466688385
4.016666666666658,SPH_OPENING_APPROACH,120,120-1,31,100.93464903716766,-82.54880921298665,130.39213656788618,-39.27781489074102,14.203237536595433,175.75989115214276,4,11,0.4838709677419355,120-1,40,274.55371004875644
4.016666666666658,SPH_OPENING_APPROACH,120,120-1,29,93.8749071054425,14.07308012928825,94.92391568188086,8.525897177290554,15.294496492775293,166.5607589096274,4,10,0.47540983606557374,120-1,40,-80.12849881129682
4.016666666666658,SPH_OPENING_APPROACH,150,150-1,63,7.3160157475319245,-37.54674436415619,38.25287046439038,-78.97402282802373,41.32258477968742,77.29629195987712,0,0,0.984375,150-1,40,-1.2762588466688385
4.016666666666658,SPH_OPENING_APPROACH,150,150-1,16,136.49840596262345,-89.2502508546364,163.08716107637866,-33.17889189078413,13.424445508707374,125.65612245596796,3,11,1.0,150-1,40,12.650826503295036
4.016666666666658,SPH_OPENING_APPROACH,150,150-1,13,55.8204349736228,-0.8495735763014343,55.8268997518759,-0.8719606417246893,16.32088070634112,65.93867542048888,2,0,0.5,150-1,40,-115.06495706039644
