case,candidate_id,grid_stage,forward_offset,lateral_offset,forward_ratio_W,lateral_ratio_W,distance_ratio_W,candidate_valid,candidate_inside_free_space_eval,robot_footprint_walkable_eval,robot_radius,wall_clearance_eval,straight_line_path_clear_eval,valid_lidar_hits,max_range_count,plus90_axis_los_eval,minus90_axis_los_eval,forward_axis_los_eval,incoming_axis_los_eval,plus90_mouth_visible_fraction_eval,minus90_mouth_visible_fraction_eval,forward_mouth_visible_fraction_eval,plus90_detected_eval,minus90_detected_eval,forward_detected_eval,incoming_detected_eval,opening_count,outgoing_match_count_eval,outgoing_total_eval,false_opening_count_eval,lateral_false_opening_count_eval,axial_false_opening_count_eval,opening_center_error_eval,opening_IoU_eval,wall_support_count,tangent_support_count
M1_CROSS_BASELINE,F+0.300_L-0.400,COARSE_0.10W,25.2,-33.6,0.3,-0.4,0.5,True,True,True,1.1199999999999999,10.162054203056464,True,280,80,False,False,True,True,0.7619047619047619,0.5714285714285714,0.0,False,False,True,True,2,1,3,0,0,0,24.0,0.4192870857146322,48,2
M1_CROSS_BASELINE,F+0.300_L-0.300,COARSE_0.10W,25.2,-25.2,0.3,-0.3,0.4242640687119285,True,True,True,1.1199999999999999,18.562054203056466,True,277,83,False,False,True,True,0.7619047619047619,0.6190476190476191,0.0,False,False,True,True,2,1,3,0,0,0,12.5,0.5121376741445998,18,2
M1_CROSS_BASELINE,F+0.300_L-0.200,COARSE_0.10W,25.2,-16.8,0.3,-0.2,0.3605551275463989,True,True,True,1.1199999999999999,26.962054203056464,True,276,84,False,False,True,True,0.7619047619047619,0.6190476190476191,0.0,False,False,True,True,2,1,3,0,0,0,8.0,0.5080289865783837,12,2
M1_CROSS_BASELINE,F+0.300_L-0.100,COARSE_0.10W,25.2,-8.4,0.3,-0.1,0.31622776601683794,True,True,True,1.1199999999999999,35.362054203056466,True,276,84,False,False,True,True,0.7142857142857143,0.6666666666666666,0.0,False,False,True,True,2,1,3,0,0,0,3.5,0.5018788523646062,10,2
M1_CROSS_BASELINE,F+0.300_L+0.000,COARSE_0.10W,25.2,0.0,0.3,0.0,0.3,True,True,True,1.1199999999999999,40.237945796943535,True,275,85,False,False,True,True,0.7142857142857143,0.7142857142857143,0.0,False,False,True,True,2,1,3,0,0,0,1.0,0.4937239366383752,10,2
M1_CROSS_BASELINE,F+0.300_L+0.100,COARSE_0.10W,25.2,8.4,0.3,0.1,0.31622776601683794,True,True,True,1.1199999999999999,31.837945796943536,True,275,85,False,False,True,True,0.6666666666666666,0.7142857142857143,0.0,False,False,True,True,2,1,3,0,0,0,5.5,0.5009253416658395,10,2
M1_CROSS_BASELINE,F+0.300_L+0.200,COARSE_0.10W,25.2,16.8,0.3,0.2,0.3605551275463989,True,True,True,1.1199999999999999,23.437945796943534,True,277,83,False,False,True,True,0.6190476190476191,0.7619047619047619,0.0,False,False,True,True,2,1,3,0,0,0,10.0,0.5061113395191357,16,2
M1_CROSS_BASELINE,F+0.300_L+0.300,COARSE_0.10W,25.2,25.2,0.3,0.3,0.4242640687119285,True,True,True,1.1199999999999999,15.037945796943536,True,279,81,False,False,True,True,0.5714285714285714,0.7619047619047619,0.0,False,False,True,True,2,1,3,0,0,0,18.5,0.45834102412283123,36,2
M1_CROSS_BASELINE,F+0.300_L+0.400,COARSE_0.10W,25.2,33.6,0.3,0.4,0.5,True,True,True,1.1199999999999999,6.637945796943534,True,279,81,False,False,True,True,0.5238095238095238,0.7619047619047619,0.0,False,False,True,True,2,1,3,0,0,0,28.5,0.3864695048220564,57,2
M1_CROSS_BASELINE,F+0.300_L+0.500,COARSE_0.10W,25.2,42.0,0.3,0.5,0.5830951894845301,False,False,False,1.1199999999999999,1.762054203056465,False,235,125,False,True,False,True,0.0,0.0,0.0,False,False,True,False,1,1,3,0,0,0,89.5,0.013823358504125182,57,1
M1_CROSS_BASELINE,F+0.300_L+0.600,COARSE_0.10W,25.2,50.4,0.3,0.6,0.6708203932499369,False,False,False,1.1199999999999999,10.162054203056464,False,232,128,False,True,False,True,0.0,0.0,0.0,False,True,False,False,1,1,3,0,0,0,11.0,0.0,40,1
M1_CROSS_BASELINE,F+0.300_L+0.700,COARSE_0.10W,25.2,58.8,0.3,0.7,0.7615773105863908,False,False,False,1.1199999999999999,18.562054203056462,False,228,132,False,True,False,True,0.0,0.0,0.0,False,True,False,False,1,1,3,0,0,0,20.0,0.0,25,1
M1_CROSS_BASELINE,F+0.400_L-0.700,COARSE_0.10W,33.6,-58.8,0.4,-0.7,0.8062257748298549,False,False,False,1.1199999999999999,15.037945796943532,False,234,126,True,False,False,True,0.0,0.0,0.0,True,False,False,False,1,1,3,0,0,0,24.0,0.0,20,1
